dataset;embs_from_model;task;norm;classifier_config;feature_selection_config;featuresSelected;avg_accuracy_train;weighted_f1_train;micro_f1_train;macro_f1_train;precision_SC_train;recall_SC_train;avg_accuracy_dev;weighted_f1_dev;micro_f1_dev;macro_f1_dev;precision_SC_dev;recall_SC_dev;avg_accuracy_test;weighted_f1_test;micro_f1_test;macro_f1_test;precision_SC_test;recall_SC_test;k_features
7cups;word2Vec;_all_TopicClassification.csv;2;SVC-C:1.0;ANOVA-F...k:10;[['emb19', 'emb30', 'emb209', 'emb273', 'emb513', 'emb592', 'emb671', 'emb687', 'emb690', 'emb736']];42.47;37.7;42.47;12.1;30.5;11.5;39.76;35.82;39.76;12.31;14.38;12.47;33.6;29.12;33.6;10.05;17.18;10.28;10.0
7cups;word2Vec;_all_TopicClassification.csv;2;SVC-C:1.0;ANOVA-F...k:50;[['emb13', 'emb19', 'emb30', 'emb41', 'emb101', 'emb126', 'emb146', 'emb164', 'emb171', 'emb194', 'emb199', 'emb209', 'emb237', 'emb238', 'emb270', 'emb271', 'emb273', 'emb308', 'emb320', 'emb321', 'emb381', 'emb389', 'emb402', 'emb408', 'emb420', 'emb433', 'emb472', 'emb481', 'emb484', 'emb492', 'emb513', 'emb547', 'emb551', 'emb592', 'emb599', 'emb622', 'emb623', 'emb642', 'emb646', 'emb647', 'emb663', 'emb671', 'emb687', 'emb689', 'emb690', 'emb704', 'emb723', 'emb735', 'emb736', 'emb756']];59.02;56.09;59.02;24.31;56.58;21.76;54.29;51.35;54.29;19.64;23.79;19.94;47.36;44.57;47.36;19.23;32.6;17.99;50.0
7cups;word2Vec;_all_TopicClassification.csv;2;SVC-C:1.0;ANOVA-F...k:100;[['emb12', 'emb13', 'emb19', 'emb30', 'emb41', 'emb43', 'emb54', 'emb57', 'emb60', 'emb101', 'emb103', 'emb106', 'emb126', 'emb127', 'emb133', 'emb137', 'emb146', 'emb164', 'emb171', 'emb172', 'emb173', 'emb194', 'emb195', 'emb199', 'emb209', 'emb234', 'emb235', 'emb236', 'emb237', 'emb238', 'emb240', 'emb270', 'emb271', 'emb273', 'emb277', 'emb287', 'emb308', 'emb317', 'emb320', 'emb321', 'emb362', 'emb381', 'emb389', 'emb396', 'emb400', 'emb402', 'emb406', 'emb408', 'emb414', 'emb415', 'emb420', 'emb426', 'emb428', 'emb433', 'emb463', 'emb472', 'emb481', 'emb484', 'emb492', 'emb497', 'emb498', 'emb499', 'emb500', 'emb513', 'emb547', 'emb551', 'emb560', 'emb570', 'emb578', 'emb592', 'emb599', 'emb616', 'emb622', 'emb623', 'emb633', 'emb642', 'emb644', 'emb646', 'emb647', 'emb654', 'emb662', 'emb663', 'emb671', 'emb674', 'emb676', 'emb679', 'emb687', 'emb689', 'emb690', 'emb695', 'emb698', 'emb704', 'emb713', 'emb723', 'emb724', 'emb730', 'emb735', 'emb736', 'emb755', 'emb756']];63.09;60.51;63.09;29.03;59.48;25.56;57.55;54.76;57.55;21.69;29.26;21.88;50.93;48.56;50.93;22.66;36.92;20.86;100.0
7cups;word2Vec;_all_TopicClassification.csv;2;SVC-C:1.0;ANOVA-F...k:200;[['emb7', 'emb9', 'emb12', 'emb13', 'emb15', 'emb17', 'emb18', 'emb19', 'emb24', 'emb29', 'emb30', 'emb36', 'emb38', 'emb41', 'emb43', 'emb44', 'emb45', 'emb52', 'emb54', 'emb57', 'emb60', 'emb69', 'emb77', 'emb82', 'emb83', 'emb87', 'emb101', 'emb103', 'emb106', 'emb109', 'emb118', 'emb126', 'emb127', 'emb133', 'emb137', 'emb146', 'emb158', 'emb164', 'emb171', 'emb172', 'emb173', 'emb181', 'emb190', 'emb194', 'emb195', 'emb196', 'emb199', 'emb203', 'emb207', 'emb209', 'emb214', 'emb221', 'emb229', 'emb234', 'emb235', 'emb236', 'emb237', 'emb238', 'emb239', 'emb240', 'emb247', 'emb248', 'emb257', 'emb261', 'emb264', 'emb266', 'emb270', 'emb271', 'emb273', 'emb277', 'emb287', 'emb288', 'emb289', 'emb296', 'emb303', 'emb308', 'emb309', 'emb313', 'emb317', 'emb320', 'emb321', 'emb333', 'emb344', 'emb348', 'emb349', 'emb350', 'emb356', 'emb362', 'emb363', 'emb367', 'emb376', 'emb381', 'emb385', 'emb389', 'emb391', 'emb396', 'emb400', 'emb402', 'emb404', 'emb406', 'emb408', 'emb414', 'emb415', 'emb420', 'emb422', 'emb423', 'emb426', 'emb428', 'emb431', 'emb433', 'emb436', 'emb438', 'emb439', 'emb445', 'emb454', 'emb463', 'emb472', 'emb481', 'emb484', 'emb486', 'emb492', 'emb497', 'emb498', 'emb499', 'emb500', 'emb509', 'emb513', 'emb521', 'emb526', 'emb528', 'emb531', 'emb532', 'emb539', 'emb541', 'emb544', 'emb546', 'emb547', 'emb548', 'emb549', 'emb551', 'emb559', 'emb560', 'emb566', 'emb570', 'emb578', 'emb579', 'emb585', 'emb592', 'emb599', 'emb604', 'emb616', 'emb622', 'emb623', 'emb630', 'emb633', 'emb637', 'emb640', 'emb642', 'emb643', 'emb644', 'emb646', 'emb647', 'emb649', 'emb651', 'emb654', 'emb657', 'emb662', 'emb663', 'emb666', 'emb670', 'emb671', 'emb674', 'emb676', 'emb679', 'emb681', 'emb683', 'emb687', 'emb689', 'emb690', 'emb691', 'emb695', 'emb696', 'emb698', 'emb703', 'emb704', 'emb710', 'emb711', 'emb712', 'emb713', 'emb719', 'emb723', 'emb724', 'emb727', 'emb730', 'emb733', 'emb735', 'emb736', 'emb755', 'emb756', 'emb767']];65.5;63.19;65.5;32.49;65.33;28.38;58.68;55.94;58.68;22.28;32.61;22.44;52.36;50.24;52.36;24.77;39.39;22.56;200.0
7cups;word2Vec;_all_TopicClassification.csv;2;SVC-C:1.0;ANOVA-F...k:300;[['emb1', 'emb4', 'emb7', 'emb9', 'emb10', 'emb12', 'emb13', 'emb15', 'emb17', 'emb18', 'emb19', 'emb21', 'emb24', 'emb29', 'emb30', 'emb36', 'emb38', 'emb39', 'emb41', 'emb43', 'emb44', 'emb45', 'emb52', 'emb54', 'emb57', 'emb59', 'emb60', 'emb69', 'emb77', 'emb82', 'emb83', 'emb87', 'emb93', 'emb95', 'emb99', 'emb101', 'emb103', 'emb106', 'emb109', 'emb110', 'emb115', 'emb118', 'emb126', 'emb127', 'emb129', 'emb130', 'emb133', 'emb137', 'emb138', 'emb139', 'emb141', 'emb142', 'emb146', 'emb149', 'emb150', 'emb155', 'emb158', 'emb161', 'emb164', 'emb169', 'emb171', 'emb172', 'emb173', 'emb176', 'emb178', 'emb181', 'emb188', 'emb190', 'emb194', 'emb195', 'emb196', 'emb199', 'emb201', 'emb203', 'emb207', 'emb209', 'emb214', 'emb217', 'emb221', 'emb223', 'emb229', 'emb234', 'emb235', 'emb236', 'emb237', 'emb238', 'emb239', 'emb240', 'emb244', 'emb246', 'emb247', 'emb248', 'emb249', 'emb257', 'emb261', 'emb264', 'emb266', 'emb270', 'emb271', 'emb272', 'emb273', 'emb277', 'emb284', 'emb287', 'emb288', 'emb289', 'emb294', 'emb296', 'emb303', 'emb304', 'emb306', 'emb308', 'emb309', 'emb312', 'emb313', 'emb317', 'emb320', 'emb321', 'emb323', 'emb327', 'emb333', 'emb337', 'emb338', 'emb341', 'emb344', 'emb348', 'emb349', 'emb350', 'emb351', 'emb354', 'emb356', 'emb362', 'emb363', 'emb366', 'emb367', 'emb376', 'emb379', 'emb381', 'emb385', 'emb386', 'emb389', 'emb391', 'emb394', 'emb396', 'emb399', 'emb400', 'emb402', 'emb404', 'emb406', 'emb407', 'emb408', 'emb414', 'emb415', 'emb416', 'emb420', 'emb422', 'emb423', 'emb426', 'emb427', 'emb428', 'emb431', 'emb433', 'emb434', 'emb436', 'emb438', 'emb439', 'emb442', 'emb443', 'emb445', 'emb448', 'emb449', 'emb454', 'emb463', 'emb472', 'emb481', 'emb484', 'emb486', 'emb490', 'emb492', 'emb497', 'emb498', 'emb499', 'emb500', 'emb509', 'emb510', 'emb512', 'emb513', 'emb521', 'emb522', 'emb524', 'emb526', 'emb527', 'emb528', 'emb531', 'emb532', 'emb539', 'emb541', 'emb544', 'emb546', 'emb547', 'emb548', 'emb549', 'emb551', 'emb554', 'emb559', 'emb560', 'emb561', 'emb565', 'emb566', 'emb568', 'emb570', 'emb573', 'emb578', 'emb579', 'emb580', 'emb582', 'emb583', 'emb585', 'emb588', 'emb592', 'emb595', 'emb599', 'emb604', 'emb610', 'emb613', 'emb615', 'emb616', 'emb622', 'emb623', 'emb630', 'emb633', 'emb634', 'emb637', 'emb639', 'emb640', 'emb642', 'emb643', 'emb644', 'emb646', 'emb647', 'emb648', 'emb649', 'emb651', 'emb654', 'emb656', 'emb657', 'emb659', 'emb662', 'emb663', 'emb666', 'emb668', 'emb669', 'emb670', 'emb671', 'emb674', 'emb675', 'emb676', 'emb679', 'emb681', 'emb682', 'emb683', 'emb687', 'emb689', 'emb690', 'emb691', 'emb695', 'emb696', 'emb698', 'emb699', 'emb703', 'emb704', 'emb710', 'emb711', 'emb712', 'emb713', 'emb714', 'emb716', 'emb719', 'emb720', 'emb723', 'emb724', 'emb725', 'emb726', 'emb727', 'emb730', 'emb733', 'emb734', 'emb735', 'emb736', 'emb737', 'emb738', 'emb742', 'emb748', 'emb749', 'emb755', 'emb756', 'emb759', 'emb761', 'emb764', 'emb767']];66.28;64.06;66.28;34.08;71.14;29.61;58.92;56.27;58.92;22.76;33.06;22.84;52.79;50.74;52.79;25.47;41.8;23.18;300.0
7cups;word2Vec;_all_TopicClassification.csv;2;SVC-C:1.0;ANOVA-F...k:400;[['emb1', 'emb3', 'emb4', 'emb7', 'emb9', 'emb10', 'emb12', 'emb13', 'emb15', 'emb16', 'emb17', 'emb18', 'emb19', 'emb21', 'emb24', 'emb29', 'emb30', 'emb32', 'emb36', 'emb38', 'emb39', 'emb41', 'emb43', 'emb44', 'emb45', 'emb52', 'emb54', 'emb57', 'emb59', 'emb60', 'emb62', 'emb65', 'emb69', 'emb74', 'emb77', 'emb82', 'emb83', 'emb84', 'emb85', 'emb87', 'emb90', 'emb93', 'emb95', 'emb98', 'emb99', 'emb101', 'emb103', 'emb106', 'emb109', 'emb110', 'emb115', 'emb117', 'emb118', 'emb121', 'emb126', 'emb127', 'emb129', 'emb130', 'emb133', 'emb134', 'emb136', 'emb137', 'emb138', 'emb139', 'emb141', 'emb142', 'emb143', 'emb146', 'emb148', 'emb149', 'emb150', 'emb151', 'emb155', 'emb158', 'emb160', 'emb161', 'emb163', 'emb164', 'emb166', 'emb169', 'emb170', 'emb171', 'emb172', 'emb173', 'emb174', 'emb176', 'emb178', 'emb181', 'emb188', 'emb189', 'emb190', 'emb194', 'emb195', 'emb196', 'emb199', 'emb201', 'emb203', 'emb204', 'emb206', 'emb207', 'emb209', 'emb214', 'emb216', 'emb217', 'emb221', 'emb223', 'emb229', 'emb234', 'emb235', 'emb236', 'emb237', 'emb238', 'emb239', 'emb240', 'emb242', 'emb243', 'emb244', 'emb246', 'emb247', 'emb248', 'emb249', 'emb251', 'emb257', 'emb258', 'emb261', 'emb262', 'emb264', 'emb266', 'emb270', 'emb271', 'emb272', 'emb273', 'emb277', 'emb279', 'emb282', 'emb284', 'emb286', 'emb287', 'emb288', 'emb289', 'emb294', 'emb295', 'emb296', 'emb298', 'emb303', 'emb304', 'emb306', 'emb308', 'emb309', 'emb312', 'emb313', 'emb314', 'emb316', 'emb317', 'emb320', 'emb321', 'emb323', 'emb326', 'emb327', 'emb330', 'emb332', 'emb333', 'emb334', 'emb337', 'emb338', 'emb339', 'emb341', 'emb344', 'emb348', 'emb349', 'emb350', 'emb351', 'emb352', 'emb353', 'emb354', 'emb356', 'emb362', 'emb363', 'emb365', 'emb366', 'emb367', 'emb376', 'emb379', 'emb381', 'emb385', 'emb386', 'emb388', 'emb389', 'emb391', 'emb392', 'emb393', 'emb394', 'emb396', 'emb399', 'emb400', 'emb402', 'emb404', 'emb406', 'emb407', 'emb408', 'emb414', 'emb415', 'emb416', 'emb418', 'emb420', 'emb421', 'emb422', 'emb423', 'emb426', 'emb427', 'emb428', 'emb430', 'emb431', 'emb433', 'emb434', 'emb436', 'emb438', 'emb439', 'emb442', 'emb443', 'emb445', 'emb448', 'emb449', 'emb451', 'emb454', 'emb456', 'emb458', 'emb459', 'emb461', 'emb463', 'emb469', 'emb472', 'emb475', 'emb477', 'emb481', 'emb484', 'emb486', 'emb490', 'emb491', 'emb492', 'emb493', 'emb497', 'emb498', 'emb499', 'emb500', 'emb508', 'emb509', 'emb510', 'emb512', 'emb513', 'emb516', 'emb518', 'emb521', 'emb522', 'emb523', 'emb524', 'emb526', 'emb527', 'emb528', 'emb529', 'emb531', 'emb532', 'emb535', 'emb537', 'emb539', 'emb541', 'emb542', 'emb544', 'emb546', 'emb547', 'emb548', 'emb549', 'emb551', 'emb552', 'emb553', 'emb554', 'emb556', 'emb559', 'emb560', 'emb561', 'emb563', 'emb565', 'emb566', 'emb568', 'emb570', 'emb572', 'emb573', 'emb576', 'emb578', 'emb579', 'emb580', 'emb582', 'emb583', 'emb585', 'emb587', 'emb588', 'emb591', 'emb592', 'emb595', 'emb598', 'emb599', 'emb600', 'emb602', 'emb604', 'emb610', 'emb612', 'emb613', 'emb614', 'emb615', 'emb616', 'emb618', 'emb619', 'emb620', 'emb622', 'emb623', 'emb625', 'emb630', 'emb633', 'emb634', 'emb637', 'emb639', 'emb640', 'emb642', 'emb643', 'emb644', 'emb646', 'emb647', 'emb648', 'emb649', 'emb650', 'emb651', 'emb653', 'emb654', 'emb655', 'emb656', 'emb657', 'emb658', 'emb659', 'emb662', 'emb663', 'emb665', 'emb666', 'emb668', 'emb669', 'emb670', 'emb671', 'emb674', 'emb675', 'emb676', 'emb679', 'emb681', 'emb682', 'emb683', 'emb684', 'emb687', 'emb689', 'emb690', 'emb691', 'emb692', 'emb693', 'emb695', 'emb696', 'emb698', 'emb699', 'emb703', 'emb704', 'emb710', 'emb711', 'emb712', 'emb713', 'emb714', 'emb716', 'emb719', 'emb720', 'emb723', 'emb724', 'emb725', 'emb726', 'emb727', 'emb728', 'emb730', 'emb731', 'emb733', 'emb734', 'emb735', 'emb736', 'emb737', 'emb738', 'emb742', 'emb743', 'emb745', 'emb746', 'emb748', 'emb749', 'emb755', 'emb756', 'emb759', 'emb761', 'emb764', 'emb767']];66.75;64.59;66.75;34.97;70.92;30.36;59.07;56.43;59.07;22.82;32.66;22.88;52.94;50.96;52.94;25.93;42.55;23.54;400.0
7cups;word2Vec;_all_TopicClassification.csv;2;SVC-C:1.0;ANOVA-F...k:500;[['emb0', 'emb1', 'emb2', 'emb3', 'emb4', 'emb5', 'emb6', 'emb7', 'emb8', 'emb9', 'emb10', 'emb12', 'emb13', 'emb15', 'emb16', 'emb17', 'emb18', 'emb19', 'emb21', 'emb23', 'emb24', 'emb27', 'emb28', 'emb29', 'emb30', 'emb32', 'emb33', 'emb36', 'emb38', 'emb39', 'emb41', 'emb43', 'emb44', 'emb45', 'emb48', 'emb50', 'emb51', 'emb52', 'emb53', 'emb54', 'emb57', 'emb58', 'emb59', 'emb60', 'emb61', 'emb62', 'emb65', 'emb68', 'emb69', 'emb74', 'emb76', 'emb77', 'emb78', 'emb82', 'emb83', 'emb84', 'emb85', 'emb87', 'emb90', 'emb93', 'emb95', 'emb98', 'emb99', 'emb101', 'emb103', 'emb106', 'emb107', 'emb109', 'emb110', 'emb115', 'emb117', 'emb118', 'emb121', 'emb123', 'emb125', 'emb126', 'emb127', 'emb129', 'emb130', 'emb133', 'emb134', 'emb136', 'emb137', 'emb138', 'emb139', 'emb141', 'emb142', 'emb143', 'emb146', 'emb148', 'emb149', 'emb150', 'emb151', 'emb155', 'emb158', 'emb160', 'emb161', 'emb163', 'emb164', 'emb166', 'emb168', 'emb169', 'emb170', 'emb171', 'emb172', 'emb173', 'emb174', 'emb176', 'emb178', 'emb181', 'emb188', 'emb189', 'emb190', 'emb194', 'emb195', 'emb196', 'emb199', 'emb200', 'emb201', 'emb202', 'emb203', 'emb204', 'emb206', 'emb207', 'emb209', 'emb211', 'emb214', 'emb215', 'emb216', 'emb217', 'emb219', 'emb221', 'emb223', 'emb228', 'emb229', 'emb230', 'emb231', 'emb234', 'emb235', 'emb236', 'emb237', 'emb238', 'emb239', 'emb240', 'emb242', 'emb243', 'emb244', 'emb246', 'emb247', 'emb248', 'emb249', 'emb251', 'emb252', 'emb254', 'emb257', 'emb258', 'emb260', 'emb261', 'emb262', 'emb264', 'emb266', 'emb268', 'emb270', 'emb271', 'emb272', 'emb273', 'emb275', 'emb277', 'emb279', 'emb282', 'emb284', 'emb286', 'emb287', 'emb288', 'emb289', 'emb291', 'emb293', 'emb294', 'emb295', 'emb296', 'emb298', 'emb299', 'emb303', 'emb304', 'emb305', 'emb306', 'emb308', 'emb309', 'emb310', 'emb312', 'emb313', 'emb314', 'emb316', 'emb317', 'emb319', 'emb320', 'emb321', 'emb323', 'emb326', 'emb327', 'emb330', 'emb332', 'emb333', 'emb334', 'emb336', 'emb337', 'emb338', 'emb339', 'emb341', 'emb344', 'emb345', 'emb348', 'emb349', 'emb350', 'emb351', 'emb352', 'emb353', 'emb354', 'emb356', 'emb358', 'emb361', 'emb362', 'emb363', 'emb364', 'emb365', 'emb366', 'emb367', 'emb373', 'emb374', 'emb376', 'emb377', 'emb379', 'emb381', 'emb382', 'emb383', 'emb385', 'emb386', 'emb387', 'emb388', 'emb389', 'emb390', 'emb391', 'emb392', 'emb393', 'emb394', 'emb396', 'emb398', 'emb399', 'emb400', 'emb401', 'emb402', 'emb403', 'emb404', 'emb406', 'emb407', 'emb408', 'emb413', 'emb414', 'emb415', 'emb416', 'emb418', 'emb420', 'emb421', 'emb422', 'emb423', 'emb424', 'emb425', 'emb426', 'emb427', 'emb428', 'emb430', 'emb431', 'emb433', 'emb434', 'emb435', 'emb436', 'emb438', 'emb439', 'emb442', 'emb443', 'emb445', 'emb446', 'emb448', 'emb449', 'emb451', 'emb453', 'emb454', 'emb456', 'emb458', 'emb459', 'emb461', 'emb463', 'emb467', 'emb468', 'emb469', 'emb470', 'emb472', 'emb474', 'emb475', 'emb476', 'emb477', 'emb478', 'emb481', 'emb482', 'emb483', 'emb484', 'emb486', 'emb490', 'emb491', 'emb492', 'emb493', 'emb497', 'emb498', 'emb499', 'emb500', 'emb502', 'emb505', 'emb508', 'emb509', 'emb510', 'emb512', 'emb513', 'emb514', 'emb515', 'emb516', 'emb518', 'emb520', 'emb521', 'emb522', 'emb523', 'emb524', 'emb526', 'emb527', 'emb528', 'emb529', 'emb531', 'emb532', 'emb535', 'emb537', 'emb539', 'emb540', 'emb541', 'emb542', 'emb544', 'emb545', 'emb546', 'emb547', 'emb548', 'emb549', 'emb551', 'emb552', 'emb553', 'emb554', 'emb556', 'emb558', 'emb559', 'emb560', 'emb561', 'emb563', 'emb565', 'emb566', 'emb567', 'emb568', 'emb570', 'emb572', 'emb573', 'emb574', 'emb576', 'emb577', 'emb578', 'emb579', 'emb580', 'emb582', 'emb583', 'emb585', 'emb587', 'emb588', 'emb590', 'emb591', 'emb592', 'emb593', 'emb594', 'emb595', 'emb596', 'emb598', 'emb599', 'emb600', 'emb601', 'emb602', 'emb604', 'emb607', 'emb609', 'emb610', 'emb612', 'emb613', 'emb614', 'emb615', 'emb616', 'emb618', 'emb619', 'emb620', 'emb622', 'emb623', 'emb625', 'emb630', 'emb631', 'emb633', 'emb634', 'emb637', 'emb639', 'emb640', 'emb642', 'emb643', 'emb644', 'emb646', 'emb647', 'emb648', 'emb649', 'emb650', 'emb651', 'emb652', 'emb653', 'emb654', 'emb655', 'emb656', 'emb657', 'emb658', 'emb659', 'emb662', 'emb663', 'emb665', 'emb666', 'emb668', 'emb669', 'emb670', 'emb671', 'emb674', 'emb675', 'emb676', 'emb678', 'emb679', 'emb681', 'emb682', 'emb683', 'emb684', 'emb687', 'emb688', 'emb689', 'emb690', 'emb691', 'emb692', 'emb693', 'emb695', 'emb696', 'emb698', 'emb699', 'emb701', 'emb703', 'emb704', 'emb707', 'emb710', 'emb711', 'emb712', 'emb713', 'emb714', 'emb715', 'emb716', 'emb719', 'emb720', 'emb723', 'emb724', 'emb725', 'emb726', 'emb727', 'emb728', 'emb730', 'emb731', 'emb733', 'emb734', 'emb735', 'emb736', 'emb737', 'emb738', 'emb739', 'emb741', 'emb742', 'emb743', 'emb745', 'emb746', 'emb748', 'emb749', 'emb754', 'emb755', 'emb756', 'emb757', 'emb759', 'emb761', 'emb763', 'emb764', 'emb767']];67.09;64.96;67.09;35.38;73.92;30.69;59.22;56.59;59.22;22.81;31.57;22.91;53.16;51.19;53.16;26.16;42.01;23.74;500.0
